ID_Cleaned,Bike_lane ,Bike_lane_protection,Parking_on_street ,Road_speed_limit,#_lanes_on_road,Road _surface,Width_of_road,id,bicycle,bicycle_fo,bicycle__1,cyclestree,cycleway,cycleway_b,cycleway_l,cycleway_r,cycleway_w,lanes,maxspeed,oneway,oneway_bic,parking_bo,parking_le,parking_ri,segregated,separation,shoulder,surface,tram,width
4080210,no,,,40,2,asphalt,,way/4080210,,,,desegnated bicycle stree,,no,,,cycle lane width ,2,40,one way street for cars?,one way street for bikes? ,Parking on both sides,Parking on the left,barking on the right,Protected bike lane?,Protected bike lane?,Protected bike lane?,asphalt,,Road width
4080211,lane,,,40,,asphalt,,way/4080211,,,,,,lane,,,,,40,,,,,,,,,asphalt,,
4080212,,,,,,asphalt,,way/4080212,,,,,,,,,,,,,,,,,,,,asphalt,,
4080213,,,,,2,asphalt,,way/4080213,,,,,,,,,,2,,,,,,,,,,asphalt,,
4080216,lane,,,60,,asphalt,,way/4080216,,,,,,lane,,,,,60,,,,,,,,,asphalt,,
4080217,,,,,2,asphalt,,way/4080217,,,,,,,,,,2,,,,,,,,,,asphalt,,
4080222,no,,,60,4,asphalt,,way/4080222,,,,,,no,,,,4,60,,,,,,,,,asphalt,,
4080223,lane,no,,60,4,asphalt,,way/4080223,,,,,,lane,,,,4,60,,,,,,,,no,asphalt,,
4080939,,,,,2,asphalt,,way/4080939,,,,,,,,,,2,,,,,,,,,,asphalt,,
4187260,no,,,,,asphalt,,way/4187260,,,,,,no,,,,,,yes,no,,,,,,,asphalt,,
4269130,no,,,60,1,asphalt,,way/4269130,,,,,,no,,,,1,60,yes,,,,,,,,asphalt,,
4269131,no,,,60,2,asphalt,,way/4269131,yes,,,,,no,,,,2,60,yes,,,,,,,,asphalt,,
4269134,no,,,30,,paved,,way/4269134,,,,,,no,,,,,30,yes,,,,,,,,paved,,
4306001,shared_lane,,,40,2,asphalt,,way/4306001,,,,,,shared_lane,,,,2,40,,,,,,,,,asphalt,,
4306021,,,,20,1,asphalt,,way/4306021,,,,,,,,,,1,20,yes,,,,,,,,asphalt,,
4308541,no,,,40,2,asphalt,,way/4308541,,,,,,,,no,,2,40,yes,,,,,,,,asphalt,,
4308557,no,,,20,1,asphalt,,way/4308557,,,,,,no,,,,1,20,yes,,,,,,,,asphalt,,
4311831,no,,,100,2,asphalt,,way/4311831,,,,,,no,,,,2,100,yes,,,,,,,,asphalt,,
4347066,,,,80,2,asphalt,,way/4347066,,,,,,,,,,2,80,yes,,,,,,,,asphalt,,
4428947,no,,,80,1,asphalt,,way/4428947,no,,,,,,,,,1,80,yes,,,,,,,,asphalt,,
4472416,no,,,,,asphalt,,way/4472416,,,,,,no,,,,,,yes,,,,,,,,asphalt,,
4518187,no,,,50,1,asphalt,,way/4518187,,,,,,no,,,,1,50,yes,,,,,,,,asphalt,,
4534778,,,,,,paved,,way/4534778,,,,,,,,,,,,yes,,,,,,,,paved,,
4534780,,,,60,3,asphalt,,way/4534780,,,,,,,,,,3,60,yes,,,,,,,,asphalt,,
4535340,no,,,100,4,asphalt,,way/4535340,no,,,,,,,,,4,100,yes,,,,,,,,asphalt,,
4535344,no,,,100,4,asphalt,,way/4535344,no,,,,,,,,,4,100,yes,,,,,,,,asphalt,,
4535345,no,,,100,4,asphalt,,way/4535345,no,,,,,,,,,4,100,yes,,,,,,,,asphalt,,
4535982,yes,,,60,2,,,way/4535982,yes,,,,,,,,,2,60,yes,,,,,,,,,,
