ID_Cleaned,Bike_lane ,Bike_lane_protection,Parking_on_street ,Road_speed_limit,#_lanes_on_road,Road _surface,Width_of_road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080210,no,,,40,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080211,lane,,,40,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080212,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080213,,,,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080216,lane,,,60,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080217,,,,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080222,no,,,60,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080223,lane,no,,60,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4080939,,,,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4187260,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4269130,no,,,60,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4269131,no,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4269134,no,,,30,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306001,shared_lane,,,40,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4306021,,,,20,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4308541,no,,,40,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4308557,no,,,20,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4311831,no,,,100,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4347066,,,,80,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4428947,no,,,80,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4472416,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4518187,no,,,50,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4534778,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4534780,,,,60,3,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4535340,no,,,100,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4535344,no,,,100,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4535345,no,,,100,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4535982,yes,,,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4536000,,,,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4575233,,,,60,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4575235,,,,,2,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4575236,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4575237,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4575238,,,,40,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4609047,no,,,,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4661789,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4661817,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4661818,no,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683726,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683727,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683728,,,,,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683754,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683755,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683756,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692455,no,,,100,5,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692558,no,,,100,6,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692560,,,,100,6,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692561,no,,,100,6,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692562,no,,,100,5,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692563,,,,100,6,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692564,,,,100,6,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692565,no,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692566,no,,,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692568,,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692569,,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692570,no,,,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692722,no,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692724,no,,,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700129,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700130,,,,,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700134,,,,40,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700136,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700138,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700140,,,,40,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700142,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700146,,,,50,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701211,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703979,,,,,,paved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703987,no,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703991,,,,60,2,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704216,no,,,50,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4707920,no,,,60,4,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709558,,,,,1,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709559,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709561,yes,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709572,no,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
