fid,Count_POI,OSM IDs,Bike_lane,Bike_lane_protection,Parking_on_street,Road_speed_limit,#_lanes_on_road,Road _surface,Width_of_road,x1 start long,y1 start lat,x2 end long ,y2 end lat
1,0,"4080210",no,,,"40",2,asphalt,,145.0555521,-37.8303207,145.0560224,-37.8307215
2,1,"4080211",lane,,,"40",,asphalt,,145.035611,-37.8212248,145.0366531,-37.8156552
3,0,"4080212",,,,,,asphalt,,145.0370092,-37.8206043,145.0374884,-37.8206631
4,0,"4080213",,,,,2,asphalt,,145.0397067,-37.8231285,145.0401958,-37.8205832
5,0,"4080216",lane,,,"60",,asphalt,,145.0237849,-37.8212565,145.0241568,-37.8213002
6,0,"4080217",,,,,2,asphalt,,145.0526351,-37.827513,145.0549876,-37.8277854
7,0,"4080222",no,,,"60",4,asphalt,,145.0505431,-37.7993301,145.0507662,-37.7993532
8,0,"4080223",lane,no,,"60",4,asphalt,,145.0630735,-37.8008611,145.0761575,-37.8025714
9,0,"4080939",,,,,2,asphalt,,145.057314,-37.8281427,145.0574449,-37.82816
10,0,"4187260",no,,,,,asphalt,,144.9891837,-37.7838209,144.9895456,-37.7817115
11,0,"4269130",no,,,"60",1,asphalt,,144.9801989,-37.7673355,144.9802381,-37.7670224
12,0,"4269131",no,,,"60",2,asphalt,,144.9646799,-37.7929641,144.9646799,-37.7929641
13,0,"4269134",no,,,"30",,paved,,144.9894876,-37.8094275,144.9904928,-37.8033959
14,0,"4306001",shared_lane,,,"40",2,asphalt,,145.0049882,-37.8120483,145.0011629,-37.811727
15,2,"4306021",,,,"20",1,asphalt,,144.970913,-37.8130979,144.9686769,-37.8137505
16,0,"4308541",no,,,"40",2,asphalt,,144.9722861,-37.8159404,144.9717451,-37.8148297
17,6,"4308557",no,,,"20",1,asphalt,,144.9717904,-37.8150627,144.9669901,-37.81647
18,0,"4311831",no,,,"100",2,asphalt,,144.9391498,-37.78625,144.9391937,-37.7860019
19,0,"4347066",,,,"80",2,asphalt,,144.9266769,-37.8270635,144.9280081,-37.8268062
20,0,"4428947",no,,,"80",1,asphalt,,144.985643,-37.8263901,144.9863297,-37.8266537
21,1,"4472416",no,,,,,asphalt,,145.0878717,-37.8984576,145.0875907,-37.8984942
22,0,"4518187",no,,,"50",1,asphalt,,145.0937607,-37.8936185,145.0957757,-37.8946636
23,0,"4534778",,,,,,paved,,145.0900602,-37.8646326,145.0915827,-37.8654902
24,0,"4534780",,,,"60",3,asphalt,,145.0450286,-37.8759625,145.0447011,-37.8760533
25,0,"4535340",no,,,"100",4,asphalt,,145.09059,-37.8828803,145.0960981,-37.8846802
26,0,"4535344",no,,,"100",4,asphalt,,145.0816346,-37.8776807,145.0821559,-37.8779395
27,0,"4535345",no,,,"100",4,asphalt,,145.081912,-37.8779996,145.0813952,-37.8777403
28,0,"4535982",yes,,,"60",2,,,145.092592,-37.8679592,145.092166,-37.8716868
29,0,"4536000",,,,"80",3,,,145.0398575,-37.8461705,145.0393271,-37.8452494
30,0,"4575233",,,,"60",2,paved,,145.0568799,-37.8355412,145.056615,-37.8355039
