CY_roadclass,,,,,,,,,,,,,,,,,,,,,
Link_Lanes ,SL_speed_limit,Intermittent/informal (on-road),Shared bike/parking lane,Shared street (sharrows),Basic painted lane,Buffered painted lane,Protected bike lane (on-road),Separated path (off-road),Shared use path (off-road),,,,,,,,,,,,
1,40,10,10,9,5,4,3,3,3,,,,,,,,,,,,
1,50,15,14,14,8,5,4,4,4,,,,,,,,,,,,
2,40,20,19,18,10,7,5,5,5,,,,,,,,,,,,
3,40,20,19,18,10,7,5,5,5,,,,,,,,,,,,
4,40,35,33,32,18,12,9,9,9,,,,,,,,,,,,
5,40,35,33,32,18,12,9,9,9,,,,,,,,,,,,
1,60,40,38,36,20,14,10,10,10,,,,,,,,,,,,
2,50,40,38,36,20,14,10,10,10,,,,,,,,,,,,
3,50,40,38,36,20,14,10,10,10,,,,,,,,,,,,
4,50,70,67,63,35,25,18,18,18,,,,,,,,,,,,
5,50,70,67,63,35,25,18,18,18,,,,,,,,,,,,
2,60,100,95,90,50,35,25,25,25,,,,,,,,,,,,
3,60,100,95,90,50,35,25,25,25,,,,,,,,,,,,
4,60,120,114,108,60,42,30,30,30,,,,,,,,,,,,
5,60,120,114,108,60,42,30,30,30,,,,,,,,,,,,
F_bikeaccom,,0,5,10,50,65,75,75,75,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
