New Link ID,Original Links
collapsed_2336171_2336748_2335757,5702791_rev,5702155
collapsed_2336675_2336748_15339501,5702792,5702719_rev
collapsed_2336685_2336759_2336661,5702804_rev,5702730
collapsed_2337645_2337716_2337308,5703918,5703842_rev
collapsed_2337606_2337722_2337489,5703922_rev,5703805
collapsed_2337941_2338004_50556095,5704242,18053002
collapsed_2337720_15339518_50556095,5703920,18053003_rev
collapsed_2337774_2337987_2337722,5704223_rev,5703978
collapsed_2342076_2342428_56729082,5709199_rev,19925738
collapsed_2337673_2337285_2337716,5703869_rev,5703917
collapsed_2334823_2334527_2334971,5700672,5700842_rev
collapsed_2334650_2335110_2334553,5700984,5700500_rev
collapsed_2336053_2335775_2336261,5702016,5702250_rev
collapsed_2336056_2336030_2336081,5702020_rev,5702053
collapsed_2339937_2340405_47620962,5706960_rev,17223357
collapsed_2340444_2340193_2340523,5707001_rev,5707083
collapsed_2334845_2334795_2335035,5700697_rev,5700907
collapsed_2336081_2336030_2336087,5702020_rev,5702053,5702061
collapsed_2336083_2336301_2336383,5702298,5702390_rev
collapsed_2336092_2335887_2336433,5702065,5702448_rev
collapsed_2341422_2341484_2341361,5708163,5708086_rev
collapsed_2341340_2341467_2341310,5708137,5707996_rev
collapsed_2341425_2341273_12575759,5708141_rev,5709087_rev
collapsed_2342440_2342010_2342408,5709210_rev,5709211_rev
collapsed_2339703_2339063_2339543,5706172,5706173_rev
collapsed_2340757_2340256_2340846,5707353_rev,5707443
collapsed_2335530_2335858_2335384,5701780,5701416_rev
collapsed_2336296_2336802_2335842,5702855,5702290_rev
collapsed_2336803_2336432_2336877,5702857_rev,5702941
collapsed_2336589_2336809_2336307,5702865,5702631_rev
collapsed_2336818_2336433_2337019,5702877_rev,5703106
collapsed_2337068_2336129_2337141,5703154,5703244_rev
collapsed_2337072_2337058_15139622,5703159,11581399_rev
collapsed_2338004_50556095_2338062,5704242,18053002,5704307
collapsed_2339139_2339401_2338932,5705822,5705548_rev
collapsed_2339319_2339401_2339275,5705823,5705734_rev
collapsed_2335513_2335572_2335888,5701461,5701814_rev
collapsed_2335572_2335888_2335926,5701461,5701814_rev,5701867_rev
collapsed_2338034_2337549_2338919,5704274,5705294_rev
collapsed_2339007_2339433_2338671,5705860,5705402_rev
collapsed_2339433_2338671_2339853,5705860,5705402_rev,5706347
collapsed_2339443_2338810_2339476,5705874_rev,5705913
collapsed_2340365_2340472_55925622,5707034,5706908_rev
collapsed_2336573_2335977_2336962,5702612_rev,5703042
collapsed_2336588_2336528_2336654,5702630,5702697
collapsed_2336307_2336809_2336230,5702865,5702631_rev,5702306_rev
collapsed_2336508_2336590_2336163,5702632,5702535
collapsed_2337766_2337804_2337731,5704017_rev,5703970
collapsed_2334665_2334886_2334575,5700741_rev,5700517
collapsed_2336052_2336299_2335563,5702294,5702015_rev
collapsed_2336143_2335925_2336163,5702121_rev,5702143_rev
collapsed_2341484_2341361_35499242,5708163,5708086_rev,5708194
collapsed_2334079_2334116_2334035,5699928_rev,5699885
collapsed_2337534_2337368_2337668,5703712,5703866_rev
collapsed_2337557_2337397_2337643,5703743,5703840_rev
collapsed_2337571_2337165_2337507,5703754_rev,5703755_rev
collapsed_2335550_2335601_2335509,5701495,5701426_rev
collapsed_2335747_2335914_36054163,5701851,5701656_rev
collapsed_2335869_2336149_2335702,5702130,5701794_rev
collapsed_2336674_2337105_2335794,5703202_rev,5702716
collapsed_2337128_2336929_2337549,5703226,5703732_rev
collapsed_2341524_2341310_2341540,5708205_rev,5708221
collapsed_2317138_2317092_2317212,5681425_rev,5681503
collapsed_2338539_2339234_2337844,5705651_rev,5704860_rev
collapsed_2338610_2338547_2338643,5704943_rev,5704979
collapsed_2338042_2338097_2337865,5704351,5704283_rev
collapsed_2338097_2337865_2338156,5704351,5704283_rev,5704415
collapsed_2342558_2342462_66543894,5709348_rev,5709496
collapsed_2335683_2335235_2335856,5701591,5701779_rev
collapsed_2335235_2335856_2335096,5701591,5701779_rev,5701123
collapsed_2337828_2337748_2337859,5704050_rev,5704079
collapsed_2337865_2337806_2338156,5704086_rev,5704351,5704283_rev,5704415
collapsed_2340505_2340552_47620967,5707118,17223356_rev
collapsed_2340552_47620967_2340619,5707118,17223356_rev,5707194
collapsed_2336639_2335914_55925546,5702681_rev,5702922
collapsed_2336666_2336654_55925544,5702710_rev,5702772
collapsed_2313762_2313527_2313687,5677686_rev,5677687
collapsed_2334617_2334976_2334542,5700846,5700460_rev
collapsed_2334197_2334246_12575752,5700059_rev,5700011
collapsed_2336168_2335775_2336409,5702151,5702413_rev
