Node ID,Is_Origin,Is_Destination,Origin_SA1,Origin_SA2,Destination_SA1,Destination_SA2,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight,Link ID,Adjacent Node,Link Weight
2,0,0,0,0,0,0,collapsed_79149_2_20677,20677,734.5479519969588,41746228,33499,112.54214188583414,collapsed_33498_2_78507,78507,154.69408758359023,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,0,0,0,0,4080222,13,19.76959041630036,collapsed_55073_12_21458,21458,37.39800938124065,collapsed_57700_33137_12,33137,63.6313013359502,collapsed_76584_12_14146,14146,63.423931781788816,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,0,0,0,4080222_rev,12,19.76959041630036,collapsed_32780_13_33137,33137,80.14457942180543,760542669_rev,14147,31.15383058700568,780458709,50796,34.839106223314545,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0,0,0,0,collapsed_14_15_58168,58168,1213.7398129152766,collapsed_25499_15_115742,115742,282.68412387126045,collapsed_115788_71340_15,71340,621.7775012386121,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,0,0,0,0,collapsed_17_16_79374,79374,60.48266821179473,collapsed_22523_16_45815,45815,758.4176294366371,collapsed_90506_16_11438,11438,355.8048300740154,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,0,0,0,collapsed_21_20_49160,49160,209.51460946689173,collapsed_45469_20_45473,45473,253.41207745639866,111667595,47991,8.680797384648077,362799233_rev,74832,12.710208507164815,collapsed_38412_44529_20,44529,674.8772639476379,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,0,0,0,4269131,22,0.0,4269131_rev,22,0.0,collapsed_75402_640_22,640,297.5134041933378,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,0,0,0,4308541,30,132.3318795032422,187918252_rev,57443,220.0741302707075,711983625,1854,13.16807506961978,711983626_rev,36377,16.208360297524273,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,0,0,0,4308541_rev,29,132.3318795032422,722366642,58530,15.541243745679536,1290614684,83569,84.79544134227885,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,0,0,0,0,collapsed_211862_50398_32,50398,689.7417016406914,208498195_rev,60499,108.5775074989413,collapsed_5299_32_91615,91615,218.88233161929247,448105013,60499,108.5775074989413,1127387470_rev,60499,108.5775074989413,collapsed_60502_60503_32,60503,102.63480490149789,,,,,,,,,,,,,,,,,,
34,0,0,0,0,0,0,collapsed_33_34_129432,129432,35.75668149748802,collapsed_32944_34_91964,91964,65.6108564567714,collapsed_45603_34_12380,12380,49.98866639537124,442754593,75576,8.514412444741799,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0,0,0,0,0,collapsed_83745_35_32492,32492,413.27351206310163,983896880_rev,70822,306.0513166030648,984782932_rev,83742,318.27139319944837,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,0,0,0,0,collapsed_40_39_39604,39604,40.92711693475713,48718680,39611,76.7283879433073,167571335_rev,39603,22.755552143356983,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,0,0,0,0,0,4534778,44,164.18348002625567,collapsed_485_43_42283,42283,259.8573126272827,1001290302_rev,76505,106.5504441860035,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,0,0,0,4534778_rev,43,164.18348002625567,collapsed_5753_42279_44,42279,85.01253479609467,collapsed_42280_42281_44,42281,266.0302948454765,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,0,0,0,0,4534780,46,30.466532472648126,760270669_rev,24664,58.35737097738097,787123314_rev,19188,25.734729854994765,787123316,95611,23.688523317101172,,,,,,,,,,,,,,,,,,,,,,,,
46,0,0,0,0,0,0,4534780_rev,45,30.466532472648126,collapsed_145439_1303_46,1303,244.4892286431901,collapsed_96252_143_46,143,324.8911475814456,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,0,0,0,0,0,collapsed_32281_53_420,420,566.0566466419333,326342957,32284,11.36124942971015,collapsed_95331_53_83360,83360,218.54657044949747,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,0,0,0,0,0,collapsed_95074_56_14048,14048,271.27625770475225,collapsed_41138_56_50953,50953,53.60755603176584,collapsed_51799_56_72586,72586,59.624299502985195,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,0,0,0,0,0,collapsed_57_58_124845,124845,136.99988494429144,330451928,73965,67.14616404574832,755045930,93573,61.77959376551971,,,,,,,,,,,,,,,,,,,,,,,,,,,
